AttackerClanName,DefenderClanName,AttackerName,DefenderName,EndTime,PreparationStartTime,StartTime,State,WarType,WarTag,LeagueId,Season,ClanNoStat,OpponentNoStat,ClanTag,OpponentTag,Id,WarId,AttackerTag,DefenderTag,Stars,StarsGained,DestructionPercentage,Order,Fresh,AttackerClanTag,DefenderClanTag,AttackerMapPosition,DefenderMapPosition,AttackerTownhall,DefenderTownhall,DownloadedAt,AttackerDiscordId,DefenderDiscordId,AttackerHidden,DefenderHidden,ManuallyEntered
EAGLE'S SHADOW,神性Chronos™,Miracle-,ElChapo™ 2.0,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117688454,2538128,#LL8PP8GY,#8PG8GJJ2U,3,1,100,59,False,#8CQPCYP2,#2L00LC0VQ,5,5,14,14,06/05/2022 22:57:40,854830291352420392,,False,False,False
神性Chronos™,EAGLE'S SHADOW,orKs Lucas™,Sherlock,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117687910,2538128,#V8GYVVC0,#GQ2G8PCY,2,0,96,58,False,#2L00LC0VQ,#8CQPCYP2,3,3,14,14,06/05/2022 22:51:28,,314088863549227008,False,False,False
EAGLE'S SHADOW,神性Chronos™,Miracle-,MR.ARYA,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117686839,2538128,#LL8PP8GY,#22Q02J9YC,3,3,100,57,True,#8CQPCYP2,#2L00LC0VQ,5,4,14,14,06/05/2022 22:41:33,854830291352420392,371414602979999745,False,False,False
神性Chronos™,EAGLE'S SHADOW,ElChapo™ 2.0,Lucas17Silva,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117684449,2538128,#8PG8GJJ2U,#99J0VUPRL,2,2,85,56,True,#2L00LC0VQ,#8CQPCYP2,5,9,14,14,06/05/2022 22:19:10,,,False,False,False
EAGLE'S SHADOW,神性Chronos™,Xampson my Kid,⭐️⭐️⭐️,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117682841,2538128,#UV2QCUR2,#2CVRGYPY,1,1,78,55,True,#8CQPCYP2,#2L00LC0VQ,11,10,13,13,06/05/2022 22:05:29,,655766562258681867,False,False,False
EAGLE'S SHADOW,神性Chronos™,Xampson my Kid,⚡️MaTeo⚡️,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117681130,2538128,#UV2QCUR2,#2QQ090RUU,3,3,100,54,True,#8CQPCYP2,#2L00LC0VQ,11,14,13,13,06/05/2022 21:51:47,,,False,False,False
神性Chronos™,EAGLE'S SHADOW,✨ßaßy_lapin✨,Xampson my Kid,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117677865,2538128,#9L8VPGVLU,#UV2QCUR2,2,0,88,53,False,#2L00LC0VQ,#8CQPCYP2,15,11,13,13,06/05/2022 21:27:08,,,False,False,False
神性Chronos™,EAGLE'S SHADOW,ElChapo™TH¹²2.0,Xampson my Kid,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117676738,2538128,#YYGGQCQ9,#UV2QCUR2,2,2,73,52,True,#2L00LC0VQ,#8CQPCYP2,25,11,12,13,06/05/2022 21:18:55,,,False,False,False
神性Chronos™,EAGLE'S SHADOW,神ElChapo™️,☁✨爱Sηιρєz爱✨☁,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117675200,2538128,#YLQL2YVRU,#PVYGJJ99G,3,1,100,51,False,#2L00LC0VQ,#8CQPCYP2,19,25,12,12,06/05/2022 21:08:57,635129533024043013,977829462668374046,False,False,False
神性Chronos™,EAGLE'S SHADOW,MR.ARYA,Sajid(iori_km),06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117675199,2538128,#22Q02J9YC,#28PYL09P2,3,3,100,50,True,#2L00LC0VQ,#8CQPCYP2,4,4,14,14,06/05/2022 21:08:57,371414602979999745,288238259656589312,False,False,False
神性Chronos™,EAGLE'S SHADOW,神ElChapo™️,༺ᴳᵒᵈKilianツ༻,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117673207,2538128,#YLQL2YVRU,#2QU9CQG99,3,3,100,48,True,#2L00LC0VQ,#8CQPCYP2,19,18,12,12,06/05/2022 20:56:26,635129533024043013,450348269839581185,False,False,False
神性Chronos™,EAGLE'S SHADOW,MR.ARYA,TZ⚡Saitama,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117673206,2538128,#22Q02J9YC,#2RU2YY8PC,2,2,92,49,True,#2L00LC0VQ,#8CQPCYP2,4,6,14,14,06/05/2022 20:56:26,371414602979999745,,False,False,False
EAGLE'S SHADOW,神性Chronos™,Lucas17Silva,로켓고드Xqr™,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117671564,2538128,#99J0VUPRL,#JR9GUUJ,2,2,81,47,True,#8CQPCYP2,#2L00LC0VQ,9,8,14,14,06/05/2022 20:46:26,,612745800241381376,False,False,False
神性Chronos™,EAGLE'S SHADOW,✨⚡la team R ₜₕ₁,ηօᴛ ɮʟᴀᴅɛ,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117669186,2538128,#9Q00PP80J,#PPJJGV82,3,3,100,46,True,#2L00LC0VQ,#8CQPCYP2,22,20,12,12,06/05/2022 20:32:35,664831997436231692,665741959406813234,False,False,False
